#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
2770.0%,2218.529296875,278.9117530980114,0.30085906306723326,396
2780.0%,2187.2666015625,299.5642292728503,0.30085906306723326,396
2790.0%,2171.95703125,284.74761350667103,0.30085906306723326,396
2800.0%,2186.1201171875,277.9949911839832,0.30085906306723326,397
2810.0%,2160.7880859375,305.74377957403016,0.30085906306723326,397
2820.0%,2173.619140625,286.92045110430894,0.30085906306723326,397
2830.0%,2130.064453125,291.2446252408532,0.30085906306723326,397
2840.0%,2120.92578125,287.7021978993256,0.30085906306723326,397
2850.0%,2132.3876953125,265.30834530514585,0.30085906306723326,397
2860.0%,2069.1298828125,287.9309654598167,0.30085906306723326,397
2870.0%,2107.0009765625,290.85799251817235,0.30085906306723326,397
2880.0%,2056.2529296875,302.09036127745924,0.30085906306723326,397
2890.0%,2176.302734375,255.2879186264088,0.30085906306723326,397
2900.0%,2108.8388671875,289.0254727744698,0.30085906306723326,397
2910.0%,2091.689453125,299.5212863642624,0.30085906306723326,397
2920.0%,2043.3505859375,310.25348648563323,0.30085906306723326,397
2930.0%,2149.0849609375,262.514861117247,0.30085906306723326,397
2940.0%,2104.7685546875,292.9321488556724,0.30085906306723326,397
2950.0%,2106.18359375,283.78625681967316,0.30085906306723326,397
2960.0%,2066.6875,295.6431299419784,0.30085906306723326,397
2970.0%,2053.650390625,287.5205995227685,0.30085906306723326,397
2980.0%,2132.8798828125,258.26319532625314,0.30085906306723326,397
2990.0%,2106.0654296875,284.2189601081179,0.30085906306723326,397
3000.0%,2095.6708984375,294.73538118839156,0.30085906306723326,397
3010.0%,2115.6220703125,282.0360115626728,0.30085906306723326,397
3020.0%,2118.2275390625,298.7624663019606,0.30085906306723326,397
3030.0%,2132.8984375,278.52298054853986,0.30085906306723326,397
3040.0%,2110.5615234375,286.2445851584852,0.30085906306723326,397
3050.0%,2023.1455078125,301.19050001284563,0.30085906306723326,397
3060.0%,2111.75,262.3147405463705,0.30085906306723326,397
3070.0%,2062.0703125,252.13121781626546,0.30085906306723326,397
3080.0%,2027.1923828125,270.0636519059425,0.30085906306723326,397
3090.0%,2068.78515625,279.49265727257637,0.30085906306723326,397
3100.0%,2138.154296875,264.6187025427198,0.30085906306723326,398
3110.0%,2076.15625,292.3368662873629,0.30085906306723326,398
3120.0%,1976.2802734375,314.48569224314787,0.30085906306723326,398
3130.0%,2156.453125,259.1640036041469,0.30085906306723326,398
3140.0%,2101.0126953125,282.7528430267848,0.30085906306723326,398
3150.0%,2102.6064453125,274.22572117136406,0.30085906306723326,398
3160.0%,2097.6572265625,269.2687468121421,0.30085906306723326,398
3170.0%,2041.55078125,274.55466785776287,0.30085906306723326,398
3180.0%,2095.0888671875,262.10260049507417,0.30085906306723326,398
3190.0%,2082.6171875,288.55727769792117,0.30085906306723326,398
3200.0%,2051.759765625,283.6488870032745,0.30085906306723326,398
3210.0%,2085.2666015625,274.3219193864904,0.30085906306723326,398
3220.0%,2135.75390625,281.7660341178696,0.30085906306723326,398
3230.0%,2149.8251953125,280.83573319107234,0.30085906306723326,398
3240.0%,2137.4501953125,326.9514274945825,0.30085906306723326,398
3250.0%,2196.9560546875,296.82246130822256,0.30085906306723326,398
3260.0%,2144.232421875,322.53293385100267,0.30085906306723326,398
3270.0%,2151.595703125,326.6842541244591,0.30085906306723326,398
3280.0%,2208.4462890625,312.6330304345882,0.30085906306723326,398
3290.0%,2188.23046875,330.32379574449556,0.30085906306723326,398
3300.0%,2271.19921875,283.64595086599195,0.30085906306723326,398
3310.0%,2163.630859375,325.3363249387075,0.30085906306723326,398
3320.0%,2182.82421875,330.41510999388635,0.30085906306723326,398
3330.0%,2164.8037109375,335.4184500360035,0.30085906306723326,398
3340.0%,2273.4052734375,316.9996068982078,0.30085906306723326,398
3350.0%,2254.2421875,319.4655043185743,0.30085906306723326,398
3360.0%,2113.5224609375,364.7636421178696,0.30085906306723326,398
3370.0%,2166.935546875,333.0716154629242,0.30085906306723326,398
3380.0%,2146.3330078125,314.6980748622682,0.30085906306723326,398
3390.0%,2215.3369140625,295.30888725896625,0.30085906306723326,398
3400.0%,2156.2998046875,305.160860108506,0.30085906306723326,398
3410.0%,2101.6943359375,329.2341841048897,0.30085906306723326,398
